data,model,attack,adv_param,defence,acc_no_def,acc_on_adv,fpr
banknote,dnn,apgd2,4.0,baard,0.0,1.0,0.0051813471502590676
banknote,dnn,apgd2,4.0,baard,0.0,1.0,0.020202020202020204
banknote,dnn,apgd2,4.0,baard,0.0,1.0,0.04102564102564103
banknote,dnn,apgd2,4.0,baard,0.0,1.0,0.010362694300518135
banknote,dnn,apgd2,4.0,baard,0.0,1.0,0.020618556701030927
banknote,dnn,apgd2,4.0,lid,0.0,0.9948186528497408,0.0
banknote,dnn,apgd2,4.0,lid,0.0,0.9949494949494948,0.0
banknote,dnn,apgd2,4.0,lid,0.0,0.9743589743589745,0.0
banknote,dnn,apgd2,4.0,lid,0.0,0.9948186528497408,0.0
banknote,dnn,apgd2,4.0,lid,0.0,0.4587628865979381,0.0
banknote,dnn,apgd2,4.0,magnet,0.0,1.0,0.0
banknote,dnn,apgd2,4.0,magnet,0.0,1.0,0.0
banknote,dnn,apgd2,4.0,magnet,0.0,1.0,0.015384615384615384
banknote,dnn,apgd2,4.0,magnet,0.0,1.0,0.0
banknote,dnn,apgd2,4.0,magnet,0.0,0.3865979381443299,0.0
banknote,dnn,apgd2,4.0,rc,0.0,0.0,0.0
banknote,dnn,apgd2,4.0,rc,0.0,0.0,0.005050505050505051
banknote,dnn,apgd2,4.0,rc,0.0,0.0,0.0
banknote,dnn,apgd2,4.0,rc,0.0,0.0,0.0
banknote,dnn,apgd2,4.0,rc,0.0,0.0,0.0
banknote,dnn,apgd2,5.0,baard,0.0,1.0,0.0051813471502590676
banknote,dnn,apgd2,5.0,baard,0.0,1.0,0.020202020202020204
banknote,dnn,apgd2,5.0,baard,0.0,1.0,0.04102564102564103
banknote,dnn,apgd2,5.0,baard,0.0,1.0,0.010362694300518135
banknote,dnn,apgd2,5.0,baard,0.0,1.0,0.020618556701030927
banknote,dnn,apgd2,5.0,lid,0.0,1.0,0.0051813471502590676
banknote,dnn,apgd2,5.0,lid,0.0,1.0,0.0
banknote,dnn,apgd2,5.0,lid,0.0,1.0,0.0
banknote,dnn,apgd2,5.0,lid,0.0,0.9740932642487048,0.0
banknote,dnn,apgd2,5.0,lid,0.0,0.7422680412371134,0.0
banknote,dnn,apgd2,5.0,magnet,0.0,1.0,0.0
banknote,dnn,apgd2,5.0,magnet,0.0,1.0,0.0
banknote,dnn,apgd2,5.0,magnet,0.0,1.0,0.015384615384615384
banknote,dnn,apgd2,5.0,magnet,0.0,1.0,0.0
banknote,dnn,apgd2,5.0,magnet,0.0,0.3865979381443299,0.0
banknote,dnn,apgd2,5.0,rc,0.0,0.0,0.0
banknote,dnn,apgd2,5.0,rc,0.0,0.0,0.005050505050505051
